place,address
アピナ上田,長野県上田市秋和３５９−１
ＳＯＹＵ　Ｇａｍｅ　Ｆｉｅｌｄ長野店,長野県長野市三輪九丁目４３番２４号イオンタウン長野三輪２Ｆ
アピナ長野村山店,長野県長野市村山５０２−１
トイザらス松本,長野県松本市村井町南４−２１−２７
モーリーファンタジー上田,長野県上田市常田２−１２−１８イオン２Ｆ
モーリーファンタジー中野,長野県中野市大字一本木２５２−１イオン２Ｆ
モーリーファンタジー南松本,長野県松本市双葉５−２０イオン２Ｆ
モーリーファンタジー飯田,長野県飯田市上郷飯沼１５７５イオン２Ｆ
モーリーファンタジー飯田アップルロード,長野県飯田市鼎一色４５６イオン２Ｆ
モーリーファンタジー豊科,長野県安曇野市豊科４２７２−１０イオン２Ｆ
パロ諏訪,長野県諏訪市沖田町５−１８ステーションパーク・諏訪１Ｆ・２Ｆ
トイザらス佐久,長野県佐久市岩村田１７３５−１
イオン東松本,長野県松本市中央４−９−４３
イオン佐久平,長野県佐久市佐久平駅南１１−１０
イオン上田,長野県上田市常田２−１２−１８
イオン中野,長野県中野市大字一本木２５２−１
イオン豊科,長野県安曇野市豊科４２７２−１０
こどもや諏訪,長野県諏訪市沖田町５−１９諏訪ステーションパーク内
西友川中島,長野県長野市川中島町今井字薬師堂１８１４−１
セガ松本,長野県松本市渚１−７−１
アピタ飯田,長野県飯田市鼎名古熊２４６１番地
アピタ高森,長野県下伊那郡高森町山吹４５１５番地
アピタ岡谷,長野県岡谷市銀座一丁目１番５号
アピタ伊那,長野県伊那市伊那下川原５１９８番地
ファンタジープラザ長野,長野県長野市高田１７５８番地ＭＥＧＡドン・キホーテ長野店内
タイトーステーション　アイシティ２１松本店,長野県東筑摩郡山形村７９７７
トイザらス長野,長野県長野市高田１１７４ヤングファラオ２Ｆ
イトーヨーカドー長野,長野県長野市権堂町２２０１
イトーヨーカドー南松本,長野県松本市高宮中１−２０
イトーヨーカドーアリオ上田,長野県上田市天神３−５１
