pref,pref_name,region,mid,ll,z
北海道,hokkaido,北海道地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"43.4,143",7
青森県,aomori,東北地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"40.82444444,140.74",10
岩手県,iwate,東北地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"39.70361111,141.1525",9
宮城県,miyagi,東北地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"38.26888889,140.8719444",11
秋田県,akita,東北地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"39.71861111,140.1025",9
山形県,yamagata,東北地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"38.24055556,140.3633333",9
福島県,fukushima,東北地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"37.75,140.4677778",9
茨城県,ibaraki-tochigi-gunma,関東地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"36.34138889,140.4466667",10
栃木県,ibaraki-tochigi-gunma,関東地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"36.56583333,139.8836111",10
群馬県,ibaraki-tochigi-gunma,関東地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"36.39111111,139.0608333",10
埼玉県,saitama,関東地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"35.85694444,139.6488889",10
千葉県,chiba,関東地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"35.60472222,140.1233333",10
東京都,tokyo,関東地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"35.68944444,139.6916667",10
神奈川県,kanagawa,関東地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"35.44777778,139.6425",10
山梨県,yamanashi-nigata-toyama,中部地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"35.66388889,138.5683333",10
新潟県,yamanashi-nigata-toyama,中部地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"37.90222222,139.0236111",10
富山県,yamanashi-nigata-toyama,中部地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"36.69527778,137.2113889",10
石川県,ishikawa,中部地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"36.59444444,136.6255556",11
福井県,fukui,中部地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"36.06527778,136.2219444",10
長野県,nagano,中部地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"36.65138889,138.1811111",9
岐阜県,gifu,中部地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"35.39111111,136.7222222",11
静岡県,shizuoka,中部地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"34.97694444,138.3830556",10
愛知県,aichi,中部地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"35.18027778,136.9066667",10
三重県,mie,関西地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"34.73027778,136.5086111",10
滋賀県,shiga,関西地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"35.00444444,135.8683333",10
京都府,kyoto,関西地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"35.02138889,135.7555556",11
大阪府,osaka,関西地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"34.68638889,135.52",11
兵庫県,hyogo,関西地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"34.69138889,135.1830556",10
奈良県,nara,関西地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"34.68527778,135.8327778",11
和歌山県,wakayama,関西地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"34.22611111,135.1675",10
徳島県,tokushima,四国・中国地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"34.06583333,134.5594444",11
香川県,kagawa,四国・中国地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"34.34027778,134.0433333",10
愛媛県,ehime,四国・中国地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"33.84166667,132.7661111",9
高知県,kochi,四国・中国地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"33.55972222,133.5311111",11
鳥取県,tottori,四国・中国地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"35.50361111,134.2383333",9
島根県,shimane,四国・中国地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"35.47222222,133.0505556",10
岡山県,okayama,四国・中国地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"34.66166667,133.935",11
広島県,hiroshima,四国・中国地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"34.39638889,132.4594444",11
山口県,yamaguchi,四国・中国地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"34.18583333,131.4713889",9
福岡県,fukuoka,九州・沖縄地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"33.60638889,130.4180556",10
佐賀県,saga,九州・沖縄地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"33.24944444,130.2988889",11
長崎県,nagasaki,九州・沖縄地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"32.74472222,129.8736111",9
熊本県,kumamoto,九州・沖縄地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"32.78972222,130.7416667",10
大分県,oita,九州・沖縄地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"33.23805556,131.6125",10
宮崎県,miyazaki,九州・沖縄地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"31.91111111,131.4238889",10
鹿児島県,kagoshima,九州・沖縄地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"31.56027778,130.5580556",11
沖縄県,okinawa,九州・沖縄地方,zAk3yF8yu1nE.kUMJrF7ZztRU,"26.2125,127.6811111",11
